name,date,stars,comment
BJBjUS•2 reviews,2 days ago,0,"Great Clothing options I’ve been shopping here for myself with Fashion Nova men for every vacation and it always have what I’m looking for I’m able to match my sneakers everytime and this time I’m rocking the Travis Scott 1 lows Velvet brown and A Ma Manire 4s and we are ready to vacation Date of experience: August 10, 2025"
RVRocio VicenteUS•1 review,2 days ago,0,"Excellent thy have good communication…Excellent thy have good communication by email and help you in anything you need Date of experience: August 10, 2025"
KLKarlene leahingCA•1 review,2 days ago,0,"Always on time👍🏽👍🏽👍🏽Date of experience: August 10, 2025"
MSMarija SataiteGB•2 reviews,2 days ago,0,"The worst customer service I have ever seenThe customer service is terrible, if you have a problem with the delivery or with the items it is impossible to get through the customer service as they are ignoring you in plain sight. If you need a resolution with your item or a refund you can dream on as it will never happen. It’s like a bot working for customer service, there’s no real people to solve the issues. I loved buying clothes of here but it’s not worth it as they robbing people in broad daylight. I would recommend NOT to buy anything of here Date of experience: August 09, 2025"
AGAsheika GoulbourneKY•1 review,2 days ago,0,"Prices reasonable and affordableDate of experience: August 10, 2025"
PAPhebe AjerohCA•1 review,2 days ago,0,"I didn't get some items I ordered and…I didn't get some items I ordered and the gift card they gave me was $50 less than the total amount spent. I tried to contact someone but to no avail.Date of experience: August 10, 2025"
LOlondonlovesmeUS•5 reviews,2 days ago,0,"I just love Fashion Nova you guys are…I just love Fashion Nova you guys are truly the it style💯Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"I love fashion nova so many cute…I love fashion nova so many cute outfits and I love being cute so 100/100Date of experience: August 10, 2025"
K.K.ceUS•1 review,2 days ago,0,"Love fashion novaLove fashion nova Date of experience: August 10, 2025"
SDSonia DeleonUS•3 reviews,2 days ago,0,"Unsatisfied customerI don’t agree with store credit for returnsDate of experience: August 10, 2025"
SBShan BarrettUS•4 reviews,2 days ago,0,"Love Fashion NovaShopping with Fashion Nova is always great. Cute clothes, great fashion. Shipping is good.Date of experience: August 10, 2025"
FNFashion NovaCA•1 review,2 days ago,0,"Fantastic It's amazing experience shopping as well.Cheap, It's amazing experience shopping as well. Cheap, affordable, great quality, closing trending fashion. I love it.affordable, great quality, closing trending fashion.I love itDate of experience: August 10, 2025"
KLKayla LeeUS•1 review,2 days ago,0,"Cute dressFast checkout Date of experience: August 10, 2025"
KWKaila WashingtonUS•1 review,2 days ago,0,"10/10 would recommend10/10 would recommend Date of experience: August 10, 2025"
FRFranciscoMX•1 review,2 days ago,0,"Goooooood GooooooooodDate of experience: August 09, 2025"
TDTenia DecuireUS•1 review,2 days ago,0,"I love the way there’s such a wide…I love the way there’s such a wide variety of selections different styles. All of my clothes are from fashion nova is the easiest way to shop for me because I work all the time and I will highly recommend it to others. The sizing is spot on the reviews are always helpful and I really enjoy Ordering from the site. I also feel like I never have to make many returns and if there ever is any problems. They are really quick with resolving it and making sure that their customers are happy.Date of experience: August 09, 2025"
MIMimiCA•1 review,2 days ago,0,"A MUST SHOPPING APP!!i love ordering clothes from there and as a plus size and tall woman it’s convenient to shop here cause it can be expensive to order clothes from other places so i recommend fashion nova!Date of experience: August 10, 2025"
FNFashion NovaUS•1 review,2 days ago,0,"Love it and I can’t wait to continue…Love it and I can’t wait to continue shopping Date of experience: August 10, 2025"
LILindaAU•2 reviews,2 days ago,0,"Ease of use of website.Date of experience: August 10, 2025"
